smiles_no_salt_canon,log_activities,class,group
CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,6.935542010773082,2,3
CC(C)n1nc(-c2ccc3nccnc3c2)c2c(N)ncnc21,7.022276394711152,2,0
CCOc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC,5.287350298372789,1,4
Cc1cccc(-c2n[nH]c3ncnc(N)c23)c1C,4.823908740944318,0,2
CC(C)n1nc(-c2ccc3occc3c2)c2c(N)ncnc21,6.459670525209127,1,2
CCOc1ccc2cc(-c3nn(C)c4ncnc(N)c34)ccc2c1,5.568636235841013,1,4
Cc1ccc(-c2n[nH]c3ncnc(N)c23)cc1OCc1ccccc1,5.4762535331884346,1,4
COc1ccc(-c2nn([C@@H]3CCNC3)c3ncnc(N)c23)cc1O,5.896196279044043,1,3
Cc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1O,6.361510743045362,1,1
COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1O,6.721246399047171,2,2
CC(C)n1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21,5.346787486224656,1,0
CC(C)n1nc(-c2cc(C=O)co2)c2c(N)ncnc21,6.0268721464003026,1,0
Nc1ncnc2c1c(-c1cccc(O)c1F)nn2C1CCCC1,5.917214629683549,1,2
CCOc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1OC,6.140861702705469,1,4
COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC,6.698970004336019,2,0
CC(C)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,6.679853713888947,2,4
CC(C)n1nc(-c2ccc(C=O)c(F)c2)c2c(N)ncnc21,5.619788758288393,1,3
CC(C)n1nc(-c2cc(F)c(C=O)c(F)c2)c2c(N)ncnc21,5.376750709602098,1,0
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2[C@@H]1CCOC1,7.366531544420414,2,0
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2[C@H]1CCOC1,7.236572006437062,2,2
CC(C)n1nc(-c2ccc3nonc3c2)c2c(N)ncnc21,5.229147988357856,1,4
N#CCCCCn1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,6.348721986001856,1,1
Nc1ncnc2c1c(-c1ccc3ncccc3c1)nn2C1CCCC1,6.229147988357855,1,3
CC(C)n1nc(-c2ccc(C#N)c(O)c2)c2c(N)ncnc21,7.552841968657781,2,0
COc1ccc(-c2nn(C)c3ncnc(N)c23)cc1O,6.698970004336019,2,4
Nc1ncnc2c1c(-c1ccc3[nH]c(=O)ccc3c1)nn2C1CCCC1,4.0,0,2
Nc1ncnc2c1c(-c1ccn3ccnc3c1)nn2C1CCCC1,5.619788758288393,1,1
COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,5.853871964321763,1,1
CC(C)n1nc(-c2ccc3[nH]c(=O)[nH]c3c2)c2c(N)ncnc21,4.657577319177793,0,0
CC(C)n1nc(-c2cc(F)c(O)cc2F)c2c(N)ncnc21,6.928117992693875,2,4
CC(C)(C)OC(=O)n1ccc2cc(-c3nn(C4CCCC4)c4ncnc(N)c34)ccc21,6.058985756294431,1,3
Cc1cc(O)ccc1-c1nn(C(C)C)c2ncnc(N)c12,5.823908740944319,1,2
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2[C@@H]1CCNC1,5.924453038607469,1,1
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2[C@H]1CCNC1,6.107905397309519,1,0
COc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1O,6.920818753952375,2,0
Nc1ncnc2c1c(-c1cnc3ccccc3c1)nn2C1CCCC1,5.886056647693162,1,4
COc1cc(Br)cc(-c2nn(C(C)C)c3ncnc(N)c23)c1,5.371611069949689,1,3
CC(C)n1nc(-c2ccc3nccc(N)c3c2)c2c(N)ncnc21,5.161150909262744,1,2
CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21,7.366531544420414,2,1
C=CCn1nc(-c2ccc(OCC)c(OC)c2)c2c(N)ncnc21,6.507239610973163,2,1
Cc1ccc(-c2nn(C)c3ncnc(N)c23)cc1O,6.259637310505756,1,0
COc1ncc(-c2nn(C(C)C)c3ncnc(N)c23)c(OC)n1,5.0958256317158375,1,1
CC(=O)c1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,6.0655015487564325,1,3
Nc1ncnc2c1c(-c1ccc3occc(=O)c3c1)nn2C1CCCC1,7.221848749616356,2,4
CC(C)n1nc(-c2cnc3ccccc3c2)c2c(N)ncnc21,5.568636235841013,1,0
CCOc1ccc(-c2nn(C3CCCCC3)c3ncnc(N)c23)cc1OC,6.452225294612178,1,4
CC(C)n1nc(-c2ccc(NS(C)(=O)=O)cc2)c2c(N)ncnc21,5.142667503568732,1,0
Nc1ncnc2c1c(-c1ccc(Br)c(O)c1)nn2C1CCC1,7.356547323513813,2,1
CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1O,6.419075024324381,1,4
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CC1CCCN1,5.739928612014924,1,0
CC(C)n1nc(-c2cc3ccccc3nc2Cl)c2c(N)ncnc21,4.0,0,1
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2Cc1ocnc1-c1ccccc1,4.0,0,2
NC(=O)Cn1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21,5.292429823902063,1,3
CC(C)(C)n1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21,4.0,0,3
CC(=O)c1cccc(-c2nn(C(C)C)c3ncnc(N)c23)c1,5.920818753952375,1,2
COc1ccc(-c2nn(C3CCC3)c3ncnc(N)c23)cc1OC,7.142667503568733,2,0
Nc1ncnc2c1c(-c1ccc3occc3c1)nn2C1CCCC1,6.621602099051862,2,2
Nc1ncnc2c1c(-c1cc(O)cc(F)c1)nn2C1CCCC1,6.1938200260161125,1,3
Cn1nc(-c2ccc3occc(=O)c3c2)c2c(N)ncnc21,5.522878745280337,1,0
Cc1nn(-c2ccccc2)nc1Cn1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,5.97061622231479,1,2
CC(C)n1nc(-c2ccc3cc(O)ccc3c2)c2c(N)ncnc21,6.231361898752384,1,0
COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1N,6.154901959985742,1,2
CC(C)n1nc(-c2cc3cc(C=O)ccc3s2)c2c(N)ncnc21,5.619788758288393,1,0
Cc1cc(-c2nn(C(C)C)c3ncnc(N)c23)sc1C=O,5.853871964321763,1,2
COCOc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1Br,5.102372908709559,1,1
CC(C)n1nc(-c2cccc3[nH]ccc23)c2c(N)ncnc21,5.990549104201306,1,0
COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1NC(C)CO,4.0,0,2
Nc1ncnc2c1c(-c1ccc3ccccc3c1)nn2Cc1ccccc1,4.769551078621727,0,3
Cc1ccc2ccc(-c3nn(C(C)C)c4ncnc(N)c34)cc2n1,6.642065152999545,2,3
CCOc1cc(-c2nn(CCO)c3ncnc(N)c23)ccc1OC,5.696803942579511,1,0
